crate,conv,warn/safe,src
webrtc-media-0.6.0,adt>adt,warn,   --> src/audio/buffer.rs:130:22
webrtc-media-0.6.0,adt>adt,warn,   --> src/audio/buffer.rs:174:22
jobsteal-0.5.1,struct>struct,warn,  --> src/job.rs:88:52
jobsteal-0.5.1,*mut trait obj>struct,warn,   --> src/job.rs:106:38
jobsteal-0.5.1,struct>*mut trait obj,warn,   --> src/job.rs:129:44
jobsteal-0.5.1,&struct>&struct,warn,  --> src/lib.rs:99:19
packable-0.8.1,&adt>&adt,warn,   --> src/packable/prefix/boxed.rs:105:34
packable-0.8.1,&adt>&adt,warn,   --> src/packable/prefix/vec.rs:101:34
packable-0.8.1,adt>adt,warn,   --> src/packable/prefix/vec.rs:133:25
packable-0.8.1,&[param]>&[uint],warn,  --> src/packable/array.rs:16:34
io-uring-0.6.0,&struct>&param,warn,  --> src/sys/sys.rs:42:9
io-uring-0.6.0,&mut struct>&mut param,warn,  --> src/sys/sys.rs:46:9
sharedlib-7.0.0,*mut enum>*const param,warn,  --> src/os/unix/lib.rs:57:26
sharedlib-7.0.0,*const param>&param,warn,  --> src/lib_impl/lib.rs:84:26
sharedlib-7.0.0,*const param>&param,warn, --> src/symbol/data_unsafe.rs:9:9
pdb-0.8.0,uint>adt,warn,  --> src/modi/c13.rs:41:30
pdb-0.8.0,uint>adt,warn,   --> src/modi/c13.rs:590:25
signal-notify-0.1.3,fnptr>uint,warn,  --> src/lib.rs:39:27
signal-notify-0.1.3,[uint]>int,safe,   --> src/lib.rs:221:41
graphs_tools-0.1.2,&param>uint,warn,  --> rust/impl/graph/canonical/identity.rs:34:9
graphs_tools-0.1.2,&param>uint,warn,  --> rust/impl/graph/canonical/identity.rs:47:9
graphs_tools-0.1.2,&struct>&tuple,warn,   --> rust/impl/graph/canonical/identity.rs:113:3
graphs_tools-0.1.2,&struct>&[int],warn,   --> rust/impl/graph/canonical/identity.rs:113:3
cpython-0.7.1,&struct>&struct,warn,  --> src/objects/mod.rs:74:17
cpython-0.7.1,&struct>&struct,warn,   --> src/objects/mod.rs:101:28
cpython-0.7.1,&struct>&struct,warn,   --> src/objects/mod.rs:74:17
cpython-0.7.1,&&[uint]>&&[int],warn,   --> src/objects/exc.rs:161:36
cpython-0.7.1,&*mut struct>&struct,warn,   --> src/objects/object.rs:185:9
cpython-0.7.1,&&[*mut struct]>&&[struct],warn,   --> src/objects/object.rs:192:9
cpython-0.7.1,&&[uint]>&&[uint],warn,   --> src/objects/string.rs:170:30
cpython-0.7.1,&&[uint]>&&[uint],warn,   --> src/objects/string.rs:188:30
protobuf-native-0.2.1+3.19.1,*mut adt>adt,warn,   --> src/internal.rs:242:13
protobuf-native-0.2.1+3.19.1,*const adt>&adt,warn,   --> src/internal.rs:247:13
protobuf-native-0.2.1+3.19.1,&adt>&adt,warn,   --> src/internal.rs:252:22
protobuf-native-0.2.1+3.19.1,*mut adt>adt,warn,   --> src/internal.rs:257:13
protobuf-native-0.2.1+3.19.1,&adt>&adt,warn,   --> src/internal.rs:262:22
protobuf-native-0.2.1+3.19.1,adt>adt,warn,   --> src/internal.rs:267:22
protobuf-native-0.2.1+3.19.1,adt>*mut adt,warn,   --> src/internal.rs:272:22
protobuf-native-0.2.1+3.19.1,&mut adt>*mut adt,warn,   --> src/internal.rs:277:13
protobuf-native-0.2.1+3.19.1,&adt>&adt,warn,   --> src/compiler.rs:203:18
protobuf-native-0.2.1+3.19.1,adt>adt,warn,   --> src/compiler.rs:207:18
protobuf-native-0.2.1+3.19.1,&adt>&adt,warn,   --> src/compiler.rs:379:18
protobuf-native-0.2.1+3.19.1,adt>adt,warn,   --> src/compiler.rs:383:18
protobuf-native-0.2.1+3.19.1,&adt>&adt,warn,   --> src/compiler.rs:457:18
protobuf-native-0.2.1+3.19.1,adt>adt,warn,   --> src/compiler.rs:461:18
protobuf-native-0.2.1+3.19.1,&adt>&adt,warn,   --> src/io.rs:326:18
protobuf-native-0.2.1+3.19.1,adt>adt,warn,   --> src/io.rs:330:18
protobuf-native-0.2.1+3.19.1,&adt>&adt,warn,   --> src/io.rs:364:18
protobuf-native-0.2.1+3.19.1,adt>adt,warn,   --> src/io.rs:368:18
protobuf-native-0.2.1+3.19.1,&adt>&adt,warn,   --> src/io.rs:395:18
protobuf-native-0.2.1+3.19.1,adt>adt,warn,   --> src/io.rs:399:18
protobuf-native-0.2.1+3.19.1,&adt>&adt,warn,   --> src/io.rs:522:18
protobuf-native-0.2.1+3.19.1,adt>adt,warn,   --> src/io.rs:526:18
