crate,fn,conv,src
webrtc-media-0.6.0,from,struct>struct,safesrc/audio/buffer.rs:130:22
webrtc-media-0.6.0,from,struct>struct,safesrc/audio/buffer.rs:174:22
jobsteal-0.5.1,new,struct>struct,safesrc/job.rs:88:52
jobsteal-0.5.1,new,*mut trait obj>struct,warn(align)src/job.rs:106:38
jobsteal-0.5.1,call,struct>*mut trait obj,warn(align)src/job.rs:129:44
packable-0.8.1,pack,&struct>&struct,warn(align)src/packable/prefix/boxed.rs:105:34
packable-0.8.1,pack,&struct>&struct,warn(align)src/packable/prefix/vec.rs:101:34
packable-0.8.1,unpack,struct>struct,safesrc/packable/prefix/vec.rs:133:25
packable-0.8.1,pack,&[param]>&[uint],warn(align)src/packable/array.rs:16:34
io-uring-0.6.0,as_ref,&struct>&param,warn(align)src/sys/sys.rs:42:9
io-uring-0.6.0,as_mut,&mut struct>&mut param,warn(align)src/sys/sys.rs:46:9
pdb-0.8.0,parse,uint>enum,safesrc/modi/c13.rs:41:30
pdb-0.8.0,parse,uint>enum,safesrc/modi/c13.rs:590:25
graphs_tools-0.1.2,make,&param>uint,warn(align)rust/impl/graph/canonical/identity.rs:34:9
graphs_tools-0.1.2,from,&param>uint,warn(align)rust/impl/graph/canonical/identity.rs:47:9
graphs_tools-0.1.2,as_tuple,&struct>&tuple,warn(align)rust/impl/graph/canonical/identity.rs:113:3
graphs_tools-0.1.2,as_array,&struct>&[int],warn(align)rust/impl/graph/canonical/identity.rs:113:3
cpython-0.7.1,unchecked_downcast_borrow_from,&struct>&struct,warn(align)src/objects/mod.rs:74:17
cpython-0.7.1,downcast_borrow_from,&struct>&struct,warn(align)src/objects/mod.rs:101:28
cpython-0.7.1,unchecked_downcast_borrow_from,&struct>&struct,warn(align)src/objects/mod.rs:74:17
cpython-0.7.1,downcast_borrow_from,&struct>&struct,warn(align)src/objects/mod.rs:101:28
cpython-0.7.1,unchecked_downcast_borrow_from,&struct>&struct,warn(align)src/objects/mod.rs:74:17
cpython-0.7.1,downcast_borrow_from,&struct>&struct,warn(align)src/objects/mod.rs:101:28
cpython-0.7.1,unchecked_downcast_borrow_from,&struct>&struct,warn(align)src/objects/mod.rs:74:17
cpython-0.7.1,unchecked_downcast_borrow_from,&struct>&struct,warn(align)src/objects/mod.rs:74:17
cpython-0.7.1,unchecked_downcast_borrow_from,&struct>&struct,warn(align)src/objects/mod.rs:74:17
cpython-0.7.1,unchecked_downcast_borrow_from,&struct>&struct,warn(align)src/objects/mod.rs:74:17
cpython-0.7.1,unchecked_downcast_borrow_from,&struct>&struct,warn(align)src/objects/mod.rs:74:17
cpython-0.7.1,unchecked_downcast_borrow_from,&struct>&struct,warn(align)src/objects/mod.rs:74:17
cpython-0.7.1,unchecked_downcast_borrow_from,&struct>&struct,warn(align)src/objects/mod.rs:74:17
cpython-0.7.1,unchecked_downcast_borrow_from,&struct>&struct,warn(align)src/objects/mod.rs:74:17
cpython-0.7.1,unchecked_downcast_borrow_from,&struct>&struct,warn(align)src/objects/mod.rs:74:17
cpython-0.7.1,unchecked_downcast_borrow_from,&struct>&struct,warn(align)src/objects/mod.rs:74:17
cpython-0.7.1,unchecked_downcast_borrow_from,&struct>&struct,warn(align)src/objects/mod.rs:74:17
cpython-0.7.1,unchecked_downcast_borrow_from,&struct>&struct,warn(align)src/objects/mod.rs:74:17
cpython-0.7.1,unchecked_downcast_borrow_from,&struct>&struct,warn(align)src/objects/mod.rs:74:17
cpython-0.7.1,unchecked_downcast_borrow_from,&struct>&struct,warn(align)src/objects/mod.rs:74:17
cpython-0.7.1,unchecked_downcast_borrow_from,&struct>&struct,warn(align)src/objects/mod.rs:74:17
cpython-0.7.1,unchecked_downcast_borrow_from,&struct>&struct,warn(align)src/objects/mod.rs:74:17
cpython-0.7.1,unchecked_downcast_borrow_from,&struct>&struct,warn(align)src/objects/mod.rs:74:17
cpython-0.7.1,unchecked_downcast_borrow_from,&struct>&struct,warn(align)src/objects/mod.rs:74:17
cpython-0.7.1,unchecked_downcast_borrow_from,&struct>&struct,warn(align)src/objects/mod.rs:74:17
cpython-0.7.1,unchecked_downcast_borrow_from,&struct>&struct,warn(align)src/objects/mod.rs:74:17
cpython-0.7.1,unchecked_downcast_borrow_from,&struct>&struct,warn(align)src/objects/mod.rs:74:17
cpython-0.7.1,unchecked_downcast_borrow_from,&struct>&struct,warn(align)src/objects/mod.rs:74:17
cpython-0.7.1,unchecked_downcast_borrow_from,&struct>&struct,warn(align)src/objects/mod.rs:74:17
cpython-0.7.1,unchecked_downcast_borrow_from,&struct>&struct,warn(align)src/objects/mod.rs:74:17
cpython-0.7.1,unchecked_downcast_borrow_from,&struct>&struct,warn(align)src/objects/mod.rs:74:17
cpython-0.7.1,unchecked_downcast_borrow_from,&struct>&struct,warn(align)src/objects/mod.rs:74:17
cpython-0.7.1,unchecked_downcast_borrow_from,&struct>&struct,warn(align)src/objects/mod.rs:74:17
