,webrtc-media-0.6.0,adt>adt,warn,   --> src/audio/buffer.rs:130:22
0,webrtc-media-0.6.0,adt>adt,warn,   --> src/audio/buffer.rs:174:22
1,jobsteal-0.5.1,adt>adt,warn,  --> src/job.rs:88:52
2,jobsteal-0.5.1,*mut trait obj>adt,warn,   --> src/job.rs:106:38
3,jobsteal-0.5.1,adt>*mut trait obj,warn,   --> src/job.rs:129:44
4,jobsteal-0.5.1,&adt>&adt,warn,  --> src/lib.rs:99:19
5,packable-0.8.1,&adt>&adt,warn,   --> src/packable/prefix/boxed.rs:105:34
6,packable-0.8.1,&adt>&adt,warn,   --> src/packable/prefix/vec.rs:101:34
7,packable-0.8.1,adt>adt,warn,   --> src/packable/prefix/vec.rs:133:25
8,packable-0.8.1,&[param]>&[uint],warn,  --> src/packable/array.rs:16:34
9,io-uring-0.6.0,&adt>&param,warn,  --> src/sys/sys.rs:42:9
10,io-uring-0.6.0,&mut adt>&mut param,warn,  --> src/sys/sys.rs:46:9
11,sharedlib-7.0.0,*mut adt>*const param,warn,  --> src/os/unix/lib.rs:57:26
12,sharedlib-7.0.0,*const param>&param,warn,  --> src/lib_impl/lib.rs:84:26
13,sharedlib-7.0.0,*const param>&param,warn, --> src/symbol/data_unsafe.rs:9:9
14,pdb-0.8.0,uint>adt,warn,  --> src/modi/c13.rs:41:30
15,pdb-0.8.0,uint>adt,warn,   --> src/modi/c13.rs:590:25
16,signal-notify-0.1.3,fnptr>uint,warn,  --> src/lib.rs:39:27
17,signal-notify-0.1.3,[uint]>int,safe,   --> src/lib.rs:221:41
18,graphs_tools-0.1.2,&param>uint,warn,  --> rust/impl/graph/canonical/identity.rs:34:9
19,graphs_tools-0.1.2,&param>uint,warn,  --> rust/impl/graph/canonical/identity.rs:47:9
20,graphs_tools-0.1.2,&adt>&tuple,warn,   --> rust/impl/graph/canonical/identity.rs:113:3
21,graphs_tools-0.1.2,&adt>&[int],warn,   --> rust/impl/graph/canonical/identity.rs:113:3
22,protobuf-native-0.2.1+3.19.1,*mut adt>adt,warn,   --> src/internal.rs:242:13
23,protobuf-native-0.2.1+3.19.1,*const adt>&adt,warn,   --> src/internal.rs:247:13
24,protobuf-native-0.2.1+3.19.1,&adt>&adt,warn,   --> src/internal.rs:252:22
25,protobuf-native-0.2.1+3.19.1,*mut adt>adt,warn,   --> src/internal.rs:257:13
26,protobuf-native-0.2.1+3.19.1,&adt>&adt,warn,   --> src/internal.rs:262:22
27,protobuf-native-0.2.1+3.19.1,adt>adt,warn,   --> src/internal.rs:267:22
28,protobuf-native-0.2.1+3.19.1,adt>*mut adt,warn,   --> src/internal.rs:272:22
29,protobuf-native-0.2.1+3.19.1,&mut adt>*mut adt,warn,   --> src/internal.rs:277:13
30,protobuf-native-0.2.1+3.19.1,&adt>&adt,warn,   --> src/compiler.rs:203:18
31,protobuf-native-0.2.1+3.19.1,adt>adt,warn,   --> src/compiler.rs:207:18
32,protobuf-native-0.2.1+3.19.1,*mut adt>adt,warn,   --> src/internal.rs:242:13
33,protobuf-native-0.2.1+3.19.1,*const adt>&adt,warn,   --> src/internal.rs:247:13
34,protobuf-native-0.2.1+3.19.1,&adt>&adt,warn,   --> src/internal.rs:252:22
35,protobuf-native-0.2.1+3.19.1,*mut adt>adt,warn,   --> src/internal.rs:257:13
36,protobuf-native-0.2.1+3.19.1,&adt>&adt,warn,   --> src/internal.rs:262:22
37,protobuf-native-0.2.1+3.19.1,adt>adt,warn,   --> src/internal.rs:267:22
38,protobuf-native-0.2.1+3.19.1,adt>*mut adt,warn,   --> src/internal.rs:272:22
39,protobuf-native-0.2.1+3.19.1,&mut adt>*mut adt,warn,   --> src/internal.rs:277:13
40,protobuf-native-0.2.1+3.19.1,*mut adt>adt,warn,   --> src/internal.rs:242:13
41,protobuf-native-0.2.1+3.19.1,*const adt>&adt,warn,   --> src/internal.rs:247:13
42,protobuf-native-0.2.1+3.19.1,&adt>&adt,warn,   --> src/internal.rs:252:22
43,protobuf-native-0.2.1+3.19.1,*mut adt>adt,warn,   --> src/internal.rs:257:13
44,protobuf-native-0.2.1+3.19.1,&adt>&adt,warn,   --> src/internal.rs:262:22
45,protobuf-native-0.2.1+3.19.1,adt>adt,warn,   --> src/internal.rs:267:22
46,protobuf-native-0.2.1+3.19.1,adt>*mut adt,warn,   --> src/internal.rs:272:22
47,protobuf-native-0.2.1+3.19.1,&mut adt>*mut adt,warn,   --> src/internal.rs:277:13
48,protobuf-native-0.2.1+3.19.1,&adt>&adt,warn,   --> src/compiler.rs:379:18
49,protobuf-native-0.2.1+3.19.1,adt>adt,warn,   --> src/compiler.rs:383:18
50,protobuf-native-0.2.1+3.19.1,*mut adt>adt,warn,   --> src/internal.rs:242:13
51,protobuf-native-0.2.1+3.19.1,*const adt>&adt,warn,   --> src/internal.rs:247:13
52,protobuf-native-0.2.1+3.19.1,&adt>&adt,warn,   --> src/internal.rs:252:22
53,protobuf-native-0.2.1+3.19.1,*mut adt>adt,warn,   --> src/internal.rs:257:13
54,protobuf-native-0.2.1+3.19.1,&adt>&adt,warn,   --> src/internal.rs:262:22
