syn,2.0.18,dtolnay/syn
rand,0.8.5,rust-random/rand
quote,1.0.28,dtolnay/quote
libc,0.2.144,rust-lang/libc
proc-macro2,1.0.59,dtolnay/proc-macro2
rand_core,0.6.4,rust-random/rand
cfg-if,1.0.0,alexcrichton/cfg-if
serde,1.0.163,serde-rs/serde
autocfg,1.1.0,cuviper/autocfg
itoa,1.0.6,dtolnay/itoa
getrandom,0.2.9,rust-random/getrandom
bitflags,2.3.1,bitflags/bitflags
log,0.4.18,rust-lang/log
rand_chacha,0.3.1,rust-random/rand
serde_derive,1.0.163,serde-rs/serde
base64,0.21.2,marshallpierce/rust-base64
lazy_static,1.4.0,rust-lang-nursery/lazy-static.rs
time,0.3.21,time-rs/time
unicode-xid,0.2.4,unicode-rs/unicode-xid
serde_json,1.0.96,serde-rs/json
memchr,2.5.0,BurntSushi/memchr
regex,1.8.3,rust-lang/regex
regex-syntax,0.7.2,rust-lang/regex
parking_lot_core,0.9.7,Amanieu/parking_lot
cc,1.0.79,rust-lang/cc-rs
num-traits,0.2.15,rust-num/num-traits
smallvec,1.10.0,servo/rust-smallvec
parking_lot,0.12.1,Amanieu/parking_lot
version_check,0.9.4,SergioBenitez/version_check
ryu,1.0.13,dtolnay/ryu
once_cell,1.17.1,matklad/once_cell
aho-corasick,1.0.1,BurntSushi/aho-corasick
hashbrown,0.13.2,rust-lang/hashbrown
clap,4.3.0,clap-rs/clap
strsim,0.10.0,dguo/strsim-rs
semver,1.0.17,dtolnay/semver
digest,0.11.0-pre,RustCrypto/traits
bytes,1.4.0,tokio-rs/bytes
crossbeam-utils,0.8.15,crossbeam-rs/crossbeam
block-buffer,0.11.0-pre,RustCrypto/utils
lock_api,0.4.9,Amanieu/parking_lot
scopeguard,1.1.0,bluss/scopeguard
generic-array,1.0.0-alpha.1,fizyk20/generic-array.git
num_cpus,1.15.0,seanmonstar/num_cpus
indexmap,1.9.3,bluss/indexmap
byteorder,1.4.3,BurntSushi/byteorder
textwrap,0.16.0,mgeisler/textwrap
num-integer,0.1.45,rust-num/num-integer
mio,0.8.7,tokio-rs/mio
either,1.8.1,bluss/either
idna,0.3.0,servo/rust-url/
percent-encoding,2.2.0,servo/rust-url/
atty,0.2.14,softprops/atty
pin-project-lite,0.2.9,taiki-e/pin-project-lite
ppv-lite86,0.2.17,cryptocorrosion/cryptocorrosion
url,2.3.1,servo/rust-url
